feature,qual_score,empirical_qv
all_alignments,3,11.14
all_alignments,4,75.00
all_alignments,5,75.00
all_alignments,6,75.00
all_alignments,7,75.00
all_alignments,8,75.00
all_alignments,9,75.00
all_alignments,10,75.00
all_alignments,11,75.00
all_alignments,12,75.00
all_alignments,13,75.00
all_alignments,14,75.00
all_alignments,15,75.00
all_alignments,16,75.00
all_alignments,17,75.00
all_alignments,18,75.00
all_alignments,19,75.00
all_alignments,20,75.00
all_alignments,21,75.00
all_alignments,22,75.00
all_alignments,23,75.00
all_alignments,24,75.00
all_alignments,25,75.00
all_alignments,26,75.00
all_alignments,27,75.00
all_alignments,28,75.00
all_alignments,29,75.00
all_alignments,30,75.00
all_alignments,31,75.00
all_alignments,32,75.00
all_alignments,33,75.00
all_alignments,34,75.00
all_alignments,35,75.00
all_alignments,36,75.00
all_alignments,37,75.00
all_alignments,38,75.00
all_alignments,39,75.00
all_alignments,40,75.00
all_alignments,41,75.00
all_alignments,42,75.00
all_alignments,43,75.00
all_alignments,44,75.00
all_alignments,45,75.00
all_alignments,46,75.00
all_alignments,47,75.00
all_alignments,48,75.00
all_alignments,49,75.00
all_alignments,50,75.00
all_alignments,51,75.00
all_alignments,52,75.00
all_alignments,53,75.00
all_alignments,54,75.00
all_alignments,55,75.00
all_alignments,56,75.00
all_alignments,57,75.00
all_alignments,58,75.00
all_alignments,59,75.00
